,species,group,lcat,Afghanistan,Albania,Algeria,American Samoa (US),Andorra,Angola,Anguilla (UK),Antigua and Barbuda,Argentina,Armenia,Aruba (Neth.),Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Belarus,Belgium,Belize,Benin,Bermuda (UK),Bhutan,Bolivia,Bonaire (Neth.),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands (UK),Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands (UK),Central African Republic,Chad,Chile,China,Clipperton Island (Fr.),Colombia,"Congo, Democratic Republic of","Congo, Rep. of",Cook Islands (NZ),Costa Rica,Croatia,Cuba,Curaçao (Neth.),Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Republic of",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faroe Islands (Den.),Fiji,Finland,France,French Polynesia (Fr.),French Southern and Antarctic Lands (Fr.),Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar (UK),Greece,Greenland (Den.),Grenada,Guam (US),Guantanamo Bay (US),Guatemala,Guernsey (UK),Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong (SAR, China)",Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Isle of Man (UK),Israel,Italy,Jamaica,Japan,Jarvis Island (US),Jersey (UK),Johnston Atoll (US),Jordan,Kazakhstan,Kenya,Kingman Reef (US),Kiribati,"Korea, Democratic People's Republic of","Korea, Republic of",Kosovo,Kuwait,Kyrgyz Republic,Lao People's Democratic Republic,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Luxembourg,"Macau (SAR, China)",Malaysia,Mali,Malta,Mauritania,Mexico,Midway Islands (US),Moldova,Monaco,Mongolia,Montenegro,Montserrat (UK),Morocco,Myanmar,Namibia,Navassa Island (US),Nepal,Netherlands,New Caledonia (Fr.),New Zealand,Nicaragua,Niger,Nigeria,Niue (NZ),Norfolk Island (Aus.),North Macedonia,Northern Mariana Islands (US),Norway,Oman,Pakistan,Palmyra Atoll (US),Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands (UK),Poland,Portugal,Puerto Rico (US),Qatar,Romania,Russian Federation,Rwanda,Saba (Neth.),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Saint-Barthélemy (Fr.),Saint-Martin (Fr.),Saint-Pierre-et-Miquelon (Fr.),Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Sint Eustatius (Neth.),Sint Maarten (Neth.),Slovak Republic,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,São Tomé and Príncipe,Tajikistan,Tanzania,Thailand,Togo,Tokelau (NZ),Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands (UK),Tuvalu,U.S. Virgin Islands (US),Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Vatican City,"Venezuela, Republica Bolivariana de",Vietnam,West Bank and Gaza,"Yemen, Republic of",Barbados,Christmas Island (Aus.),Comoros,Côte d'Ivoire,Lesotho,Liberia,Madagascar,Malawi,Maldives,"Micronesia, Federated States of",Mozambique,Palau,Sierra Leone,Solomon Islands,eSwatini,Zambia,Zimbabwe,Mauritius,South Georgia and South Sandwich Islands (UK),Timor-Leste,British Indian Ocean Territory (UK),Cocos (Keeling) Islands (Aus.),Falkland Islands (UK)/Islas Malvinas,Marshall Islands,Nauru,Seychelles,Wallis-et-Futuna (Fr.),"Saint Helena, Ascension and Tristan da Cunha (UK)",Heard Island and McDonald Islands (Aus.),Wake Island (US),Baker Island (US),Howland Island (US),,Percentage
90,Larinia famulatoria,Arthropods,Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
91,Larinia lineata,Arthropods,Land_Coast,,,21.74418672,,0.038397981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.281330081,,,,,,,,0.000313967,,,,,,,,,,,,,,,,,,,,,,,1.711740251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.74698385,,,,,,,,,,,,,,,,,,,,,,,,,,6.036992629,,,,,,,,,,,,,,,,,,,,,,,,,,35.38540316,,,,,,,,,,,,,,,3.054651357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
92,Larinia minor,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
93,Larinia montagui,Arthropods,Land_Coast,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
94,Larinia phthisica,Arthropods,Land_Coast,,,,,,,,,,,,91.03119877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.912025117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.056776117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
95,Larinia sexta,Arthropods,Coast,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
96,Larinia t-notata,Arthropods,Land_Coast,,,,,,,,,51.05428872,,,,,,,,,,,,,,,,,,,45.04455262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.901158659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
97,Larinia tumulus,Arthropods,Coast,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
98,Lariniaria argiopiformis,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.31476091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87930085,,,,,,,,,,21.80593824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
99,Larinioides cornutus,Arthropods,Land_Coast,,0.156645569,0.224574227,,0.002499245,,,,,6.02E-05,,,0.463630396,,,,,1.14381098,0.169171913,,,,,,,0.286304235,,,,,0.623121117,,,,,,21.81253733,,,,,,,,,,,,0.304202145,,,,0.434520798,0.235229151,,,,,,,,,0.252286536,,0.007310024,,1.837081457,3.024790455,,,,,0.205840535,1.972732694,,,0.687371752,,,,,,0.00040821,,,,,,,0.514505499,0.177957479,,,,,0.382835811,0.003168056,,1.664312141,,,,0.000656887,,,,,,,,,0.060309348,,,,0.355705913,,,0.000757682,0.357821761,0.014391087,,,,0.001802583,,0.083051072,,0.183312136,0.000104086,,0.075858809,,,,,,,0.204576672,,,,,,,,0.140319206,,1.736817022,,,,,,,,,,1.728280346,0.23532178,,,1.305299958,9.668067808,,,,,,,,0.001340132,,0.000333227,,,0.428533713,,,,0.267410763,0.112241981,,,,2.413045436,,,,2.454973754,0.228760326,,,,,,,,,,0.140839357,3.601721802,,,,,,3.305867079,,1.343668824,32.96190145,,,,6.75E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
100,Larinioides ixobolus,Arthropods,Land_Coast,,,,,,,,,,,,,1.286627707,0.031333168,,,,3.174207109,0.143257834,,,,,,,0.422207807,,,,,1.598165828,,,,,,,,,,,0.239921212,,,,,,,0.585739103,,,,1.205845224,0.007312703,,,,,,,,,,,,,,0.240053023,,,,,0.070097234,5.171936049,,,0.042069749,,,,,,,,,,,,,1.427811973,,,,,,,,,1.292966517,,,,,,,16.79288115,,,,,,0.012471274,,,,0.512477935,,,0.002102656,0.992996569,0.039936922,,,,,,,,0.508712273,,,0.002623765,,,,,,,0.389231668,,,,,,,,,,,,,,,,,,,,4.796176865,,,,3.622357609,43.65221841,,,,,,,,,,,,,1.131756635,,,,0.742095642,0.311484414,,,,,,,,,0.376762359,,,,,,,,,,,,,,,,,9.174161612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
101,Larinioides patagiatus,Arthropods,Land_Coast,,,,,0.001920585,,,,,0.076851777,,,0.356284153,0.044218275,,,,0.878979743,0.130002848,,,,,,,0.18937543,,,,,0.022780135,,,,,,24.80140746,,,,,0.305381489,,,,,,,0.22121493,,,,0.33391442,0.180765583,,,,,,,,,0.193873602,,,,1.390719137,2.324448342,,,,,0.295481034,1.515977819,,1.57E-05,,,,,,,0.000313695,,,,,,,0.395379935,,,,,,0.073236011,0.002434543,,0.793214601,,,,0.000504795,,,3.822862006,,,,,,0.00774473,,0.253001243,,0.273347867,,,0.000582253,0.274973825,0.01105906,,,,,,,,0.127835296,8.00E-05,,0.003811542,,0.114070444,,,,,0.157210198,,,,,,,,,,1.265954697,,,,,,,,,,1.328124524,0.373849142,,,0.709283802,19.16310045,,,,,,,,0.001029845,,0.000256073,,,0.303335544,,,,0.205496054,0.086254136,,,,2.122160141,,,,1.886563633,0.175794512,,,,,,,,,,,0.12592499,,,,,,2.418257051,,1.020313572,29.23902728,,,,5.18E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
102,Larinioides sclopetarius,Arthropods,Land_Coast,,0.109035673,,,0.002792291,,,,,,,,0.51799278,,0.037883589,,,0.315824958,0.189007948,0.13835638,,,,,,0.319874469,,,,,0.285574929,,,,,,18.54593768,,,,,,,,,,,,0.339870976,0.238997945,,,0.485469974,0.262810642,,,,,,0.002924118,,,0.223606613,,,,0.43766229,3.379458361,,,,,,2.204042923,,,,,,,,0.43337637,0.000456074,,,,,0.077538441,,0.574833178,,,,,,0.274360871,0.003539522,,1.586579759,,,,0.000733909,,,,,,,,,0.067380843,,,,0.322105155,,,0.000846523,0.39942236,0.016078495,,,,,,6.868419328,,,0.00011629,,0.084753536,,,,,,,0.228564046,,,,,,,,0.138560208,,0.753201866,,,,,,,,,,1.93092763,0.491491495,,,0.82417703,0.082816016,,,,,,,,0.001497267,,0.000372299,,,0.478780882,,,,0.298765667,0.125402769,,,,3.071951476,,,,1.762892384,0.255583324,,,,,,,,,,,,,,,,,0.542733239,,1.294756553,48.96986058,,,,7.54E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
103,Larinioides suspicax,Arthropods,Land_Coast,,0.550901274,,,0.008789508,,,,,0.552884996,,,1.630525382,1.632233427,,,,,,,,,,,,1.006893262,,,,,2.191432673,,,,,,,,,,,,,,,,,,1.069837792,,,0.174061184,1.528150865,,,,,,,,,,,,,,,7.519047061,,,,,1.352261451,2.310976543,,,2.341881445,,,,,,,,,,,,,1.808207128,,,,0.227832415,,,,0.101422185,4.193598618,,,,,,0.06172353,3.926880817,,,,,,0.212099818,,0.17818192,,,0.194735851,,0.002664667,,,,,,,,,,0.644683982,0.000366055,,0.266785169,,,,,,,,,,,,,,,0.493483663,,,,,,,,,,,,1.136110426,1.075482032,,,4.59056337,24.30114969,,,,,,,,,,0.001171913,,,1.507095098,,,,0.714043018,0.394739862,,,,6.753456486,,,,,0.804519121,0.918733404,,,,,,,,,,13.67080104,,,,,,7.886663177,,,,,,,2.37E-07,,,0.062928451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
104,Lariniophora ragnhildae,Arthropods,Land,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
105,Larinopoda aspidos,Arthropods,Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.80351699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.19648301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
106,Larinopoda tera,Arthropods,Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.80902286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.19097714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
107,Larinotus umbilicatus,Arthropods,Coast,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
108,Larinus australis,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.10335322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.896646783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
109,Larinus beckeri,Arthropods,Land,,,,,,,,,,,,,6.618743578,,,,,,0.187954206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.305269087,,,,,,78.96488687,,,,,,,,,,,,,,,,,,,,,,,,,0.663760195,,,,,,,,,,,,,,,,,,,,0.064523005,,1.369842169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.825020892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
110,Larinus brevis,Arthropods,Land,,,,,,,,,,,,,0.136575913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.86342409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
111,Larinus canescens,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.50530547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.49469453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
112,Larinus carlinae,Arthropods,Land_Coast,,,0.661127756,,0.003954067,,,,,,,,0.733511714,,,,,1.335106517,0.267647638,,,,,,,0.402162276,,,,,0.520874344,,,,,,12.34775258,,,,,,,,,,,,0.471961439,,,,0.68745729,0.372157087,,,,,,,,,,,,,,4.785534452,,,,,0.07975301,3.121069181,,,,,,,,,0.000645831,,,,,,,0.814001441,,,,,,0.068551259,0.005012195,,1.909840953,,,,0.001039263,,,0.037095698,,,,,,,,,,0.003207974,,,0.001198733,0.411634875,0.022768202,,,,,,,,0.290018946,0.000164675,,3.36E-05,,,,,,,0.323661664,,,,,,,,,,0.461817634,,,,,,,,,,2.734320033,0.632132346,,,2.065120878,12.77192565,,,,,,,,,,0.000527199,,,0.485441939,,,,0.423071759,0.177578538,,,,3.937062875,,,,1.039430086,0.361922731,,,,,,,,,,,,,,,,,5.23022703,,1.244809796,38.75566672,,,,1.07E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
113,Larinus centaurii,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.82785155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.17214845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
114,Larinus curtus,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
115,Larinus cynarae,Arthropods,Land_Coast,,,12.05040154,,0.116533995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.26024541,,,,,,,,0.000952859,,,,,,,,,,,,,,,,,,,,,,,9.013464286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.893382831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.66501593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
116,Larinus ferrugatus,Arthropods,Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.27701897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722981033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
117,Larinus griseopilosus,Arthropods,Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
118,Larinus iaceae,Arthropods,Land_Coast,,0.47277065,,,0.011383405,,,,,,,,2.111714467,,,,,5.209530468,0.157142942,,,,,,,1.269282505,,,,,2.838152738,,,,,,,,,,,,,,,,,,1.164543078,,,,1.979127909,,,,,,,,,,1.119791397,,,,0.037170892,12.56001,,,,,,6.052295814,,,1.020848494,,,,,,,,,,,,,2.343437175,,,,,,,,,2.796106162,,,,,,,0.572881346,,,,,,0.274693211,,,,1.603444877,,,0.003451044,1.629783976,0.065547614,,,,,,,,0.834938546,0.000474083,,0.34303719,,,,,,,,,,,,,,,0.639117062,,,,,,,,,,,,6.553860723,,,,5.94529787,19.47984488,,,,,,,,,,,,,1.951858313,,,,1.217985665,0.51123269,,,,0.944426121,,,,,1.041943097,,,,,,,,,,,0.570157895,,,,,,14.6727157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
119,Larinus impressus,Arthropods,Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
120,Larinus latissimus,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5366394,,,,,,,,,0.733995034,57.72936556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
121,Larinus latus,Arthropods,Land_Coast,,1.357473264,,,0.006207313,,,,,,,8.648877329,3.294505663,,,,,,,,,,,,,2.481080996,,,,,5.399899039,,,,,,,,,,,,,,,,,,2.63618232,,,0.428903352,0.160455262,,,,,,,,,,,,,,,4.092889792,,,,,,0.07330869,,,6.284092498,,,,,,,,,,,,,3.310779445,,,,,,,,0.423293582,7.291273206,,,,,,0.244937354,,,,,,,0.522634172,,,,,0.282667078,,,,,,,,,,,,0.433265751,0.000901996,,0.657384092,,,,,,,,,,,,,,,1.215990796,,,,,,,,,,,,,,,,6.877781081,6.407325996,,,,,,,,,,0.002887705,,,3.713626009,,,,0.581163508,0.972676654,,,,0.287363132,,,,,,0.418249978,,,,,,,,,,18.8763204,,,,,,12.32245086,,,,,,,,,,0.293151689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
122,Larinus lethierryi,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.03772931,,,,,,,,,,,,,,,,,,,,,,,,,,65.96227069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
123,Larinus leuzeae,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
124,Larinus longirostris,Arthropods,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.00434794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.99565206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
